hour,day_of_week,is_weekend,route_id,stop_sequence,distance_to_next_stop_km,traffic_level,rain_flag,passenger_count,bus_capacity,actual_travel_time_min,crowding_level
4,2,False,13,10,1.66,3,0,38,50,7.549050437805725,High
6,6,True,18,4,1.89,3,0,25,50,8.60626734687974,Medium
7,6,True,2,12,0.52,3,0,48,50,9.133193706107644,High
14,5,True,5,13,2.47,1,0,29,50,6.8159513090163495,Medium
21,0,False,18,2,2.98,2,0,38,50,9.511833471262904,High
11,6,True,11,1,1.31,2,0,39,50,5.3424002366534005,High
13,1,False,4,1,0.76,3,0,39,50,5.748697579120861,High
1,6,True,14,4,2.14,1,1,19,50,7.668793610772218,Low
20,6,True,16,5,2.1,1,0,41,50,8.677206991822251,High
5,6,True,2,13,1.0,3,0,47,50,5.918389729954798,High
7,3,False,14,9,2.67,3,0,50,50,13.069964512911072,High
2,4,False,12,5,2.78,3,0,42,50,10.879056374773821,High
19,3,False,9,6,1.06,1,0,31,50,7.065369041887445,Medium
7,2,False,13,1,0.53,1,0,37,50,6.79613973113633,Medium
10,4,False,1,12,2.45,1,0,37,50,9.268339048693019,Medium
13,6,True,16,6,2.05,2,0,30,50,6.661840666012909,Medium
12,5,True,1,13,0.7,1,0,28,50,3.7988432634247613,Medium
17,6,True,2,10,0.92,1,0,41,50,7.245990062067436,High
7,1,False,20,14,2.03,2,0,50,50,11.13794245441223,High
21,1,False,3,9,0.91,2,0,35,50,5.6861076262428245,Medium
12,2,False,19,7,1.68,2,1,29,50,8.078503164232167,Medium
11,1,False,6,2,2.13,1,0,24,50,5.338313422730309,Medium
18,2,False,15,1,2.6,1,1,38,50,12.265626395198868,High
4,3,False,12,14,2.97,1,1,35,50,8.659096569302264,Medium
20,1,False,4,2,1.99,3,0,42,50,10.841389767038459,High
17,4,False,15,1,0.83,2,1,41,50,9.38484742307729,High
13,1,False,5,5,0.67,2,0,21,50,5.14503373434669,Medium
6,0,False,20,2,0.74,2,0,28,50,5.0035045873216575,Medium
4,6,True,1,8,2.0,1,0,23,50,5.716572384615954,Medium
21,5,True,16,10,1.62,2,0,23,50,7.334875143904593,Medium
11,0,False,20,12,0.59,2,0,29,50,4.787254642652674,Medium
11,3,False,15,6,1.01,1,0,21,50,3.5441925591429015,Medium
19,1,False,1,7,1.06,1,0,35,50,6.715468875386658,Medium
11,1,False,20,5,1.7,2,0,32,50,5.627767753196766,Medium
10,1,False,12,6,0.85,1,0,43,50,5.730766044897076,High
22,1,False,1,7,2.18,2,1,25,50,9.633607969028503,Medium
22,6,True,11,10,0.54,1,0,27,50,2.7666980959567775,Medium
7,0,False,14,4,2.19,1,0,34,50,9.696715766150547,Medium
1,1,False,6,9,2.67,3,0,32,50,9.709016781840724,Medium
10,3,False,2,13,2.41,3,0,48,50,12.714950040018937,High
0,5,True,7,9,1.32,2,0,35,50,4.630222225511416,Medium
0,0,False,17,3,1.07,1,0,32,50,4.18483243250823,Medium
13,0,False,3,5,2.66,2,0,21,50,7.625213766618202,Medium
4,6,True,12,4,2.02,3,0,36,50,8.413657155999518,Medium
10,2,False,15,4,2.84,1,0,39,50,9.333521592902308,High
19,5,True,15,12,1.85,1,0,44,50,7.705185931714832,High
3,1,False,11,7,2.2,1,0,26,50,5.599316178024393,Medium
9,4,False,10,8,2.91,2,0,45,50,11.530518372402915,High
9,6,True,13,7,2.09,2,0,50,50,10.469645072152442,High
23,1,False,10,8,2.42,2,0,25,50,8.37492524935052,Medium
3,3,False,7,10,2.52,3,0,33,50,8.968936728351913,Medium
16,2,False,12,2,1.68,2,0,26,50,5.828299177241073,Medium
6,2,False,10,9,1.48,2,0,38,50,5.558162716015135,High
21,4,False,7,9,2.23,3,0,32,50,9.111342674497994,Medium
9,6,True,13,14,1.16,2,0,38,50,7.476375288273465,High
5,0,False,7,4,1.61,3,0,31,50,7.818083772789365,Medium
7,5,True,8,2,2.2,1,0,33,50,8.150206271898533,Medium
2,1,False,20,8,1.95,1,1,28,50,8.0556051151962,Medium
22,1,False,16,12,1.37,2,0,28,50,5.193843617663711,Medium
4,3,False,8,8,1.85,3,0,36,50,7.825410379685435,Medium
6,0,False,16,12,2.46,2,0,25,50,7.384702830882199,Medium
1,0,False,2,11,1.1,2,0,29,50,5.296665333476367,Medium
17,6,True,6,3,2.47,2,0,32,50,10.953061215769864,Medium
16,1,False,6,2,2.07,2,0,32,50,6.788468550999427,Medium
6,3,False,14,9,1.31,1,0,25,50,4.4761357447529395,Medium
1,0,False,1,4,2.02,1,1,29,50,7.281871992031436,Medium
2,0,False,6,9,2.17,1,0,25,50,5.049371214540259,Medium
12,3,False,12,12,1.28,2,0,26,50,5.701649709220078,Medium
10,5,True,2,12,1.41,1,0,36,50,7.038699859173153,Medium
10,1,False,15,9,1.58,1,0,44,50,7.305436807549044,High
6,3,False,1,4,2.08,1,0,22,50,5.3635860313102555,Medium
3,3,False,6,7,2.31,3,0,41,50,8.483587693969247,High
21,5,True,7,5,1.47,3,0,29,50,7.323664045740001,Medium
5,6,True,10,7,0.84,2,0,32,50,4.672345075413502,Medium
2,0,False,11,5,2.61,1,0,20,50,6.498358874404245,Medium
17,2,False,9,13,1.49,2,0,50,50,8.645463630670042,High
0,1,False,16,13,1.2,3,0,37,50,7.194099967485929,Medium
22,1,False,8,11,1.63,1,1,24,50,7.265431120185919,Medium
4,3,False,1,7,2.2,1,0,25,50,5.717339224343946,Medium
23,2,False,17,5,1.77,1,0,16,50,4.501669532737835,Low
4,5,True,8,10,0.55,1,1,21,50,5.098023842902908,Medium
8,1,False,15,2,0.53,1,0,39,50,6.041099677297559,High
9,4,False,4,12,1.69,1,0,44,50,7.900493394887971,High
1,2,False,10,1,2.82,1,0,15,50,6.2711351224743535,Low
17,5,True,20,14,2.82,2,0,50,50,11.033771360575386,High
6,0,False,12,9,1.86,2,0,31,50,6.073220680416351,Medium
10,5,True,11,9,2.84,1,0,36,50,10.37984397587632,Medium
17,6,True,15,3,0.88,1,0,44,50,6.661722906182791,High
2,6,True,19,7,2.22,3,0,37,50,8.628810902504599,Medium
9,1,False,16,8,1.12,2,1,40,50,10.135488371356988,High
9,1,False,11,9,1.89,2,0,39,50,9.522679225390926,High
12,0,False,20,4,0.51,3,0,38,50,5.127550843458881,High
1,4,False,20,11,2.39,3,0,35,50,8.744372925153638,Medium
14,4,False,4,4,2.45,1,0,22,50,6.20300931834879,Medium
12,3,False,17,7,2.69,2,0,28,50,8.270129848298561,Medium
19,3,False,2,14,2.51,1,0,39,50,9.110900558288847,High
21,4,False,12,14,2.95,1,0,26,50,6.2479488301213575,Medium
22,0,False,1,2,1.43,1,0,29,50,4.746549970769435,Medium
21,4,False,1,1,2.09,2,0,34,50,7.605046994658404,Medium
15,4,False,20,13,2.95,1,0,33,50,8.243493931512695,Medium
5,0,False,13,3,2.85,1,0,22,50,7.456800053284859,Medium
9,4,False,4,6,2.08,1,1,40,50,10.709952771951205,High
3,5,True,9,6,1.06,1,0,29,50,3.593127745515438,Medium
20,5,True,12,10,1.21,1,0,41,50,6.806760554049236,High
15,5,True,10,9,2.44,1,0,29,50,5.167879869863529,Medium
6,5,True,15,2,2.33,2,0,34,50,7.530799639896416,Medium
11,5,True,5,10,2.95,1,0,19,50,7.12135943794796,Low
18,0,False,12,9,0.96,1,0,39,50,6.00844096932596,High
21,6,True,1,1,2.95,1,0,26,50,8.119271242256145,Medium
16,0,False,2,6,1.07,3,0,30,50,6.842128597506726,Medium
1,1,False,2,3,2.13,2,0,30,50,7.958613211279381,Medium
9,2,False,19,1,1.0,1,0,36,50,7.080966906728048,Medium
21,6,True,8,5,2.15,1,0,28,50,5.843036432496837,Medium
16,6,True,2,9,0.74,1,0,22,50,3.612289188669232,Medium
6,3,False,18,11,2.44,3,0,36,50,8.464615775802567,Medium
8,3,False,5,5,1.28,2,0,49,50,8.584334368441525,High
19,5,True,12,2,1.29,3,1,47,50,11.91261233394673,High
7,4,False,16,11,1.28,3,1,50,50,11.630329858150345,High
0,6,True,13,7,0.81,2,0,31,50,4.189039810992089,Medium
4,0,False,3,1,0.57,3,0,34,50,5.786696977820951,Medium
8,3,False,6,2,0.78,3,1,50,50,11.198354521952492,High
8,4,False,2,6,2.57,1,0,42,50,10.060310013252277,High
0,4,False,3,4,2.76,2,0,40,50,7.948934675284326,High
21,0,False,5,12,1.68,3,0,31,50,8.046217323491106,Medium
1,2,False,8,8,0.67,1,1,22,50,5.133346900737638,Medium
22,6,True,3,4,2.67,1,0,22,50,7.5689776167828455,Medium
3,3,False,17,7,2.52,1,1,26,50,8.969628612499921,Medium
22,2,False,2,8,1.45,1,0,19,50,4.280860769650208,Low
13,2,False,20,1,0.61,2,1,27,50,6.574725908569519,Medium
18,5,True,19,3,2.38,3,0,47,50,12.70433137677548,High
18,6,True,20,14,1.05,1,0,42,50,5.749897562725967,High
13,2,False,3,9,1.25,2,0,38,50,5.975153795986788,High
8,6,True,16,13,2.6,1,0,36,50,10.126175678447236,Medium
20,6,True,5,4,1.05,2,0,45,50,7.843344385838316,High
2,0,False,2,8,2.89,1,0,24,50,6.719788670044192,Medium
18,1,False,20,13,0.93,3,0,50,50,9.64995448373596,High
22,6,True,4,6,2.47,3,0,26,50,9.336184473508812,Medium
8,0,False,8,7,1.52,3,0,47,50,10.593089383911106,High
7,2,False,10,1,1.63,2,0,37,50,8.001283448801235,Medium
19,0,False,13,13,0.51,1,0,37,50,6.062239791536536,Medium
16,5,True,10,11,0.61,1,0,22,50,3.1448583782023056,Medium
20,2,False,7,7,2.69,2,0,37,50,11.025796616544769,Medium
11,2,False,12,8,2.77,2,0,27,50,9.000623842455173,Medium
6,3,False,5,8,2.66,1,0,27,50,6.631502420416482,Medium
3,5,True,1,4,1.42,1,0,25,50,4.274371516453847,Medium
18,6,True,9,7,1.53,2,0,49,50,9.176180138841934,High
13,1,False,19,6,0.79,1,0,28,50,3.745739403698898,Medium
5,2,False,16,14,0.86,1,0,15,50,3.1557312442805348,Low
12,6,True,5,5,2.52,1,0,23,50,7.063971030876071,Medium
3,2,False,13,7,1.86,3,0,28,50,7.939057168226286,Medium
2,3,False,12,9,1.58,1,0,16,50,5.312170121439077,Low
3,3,False,1,8,1.44,1,0,22,50,3.897797872694154,Medium
9,3,False,18,12,0.52,1,0,41,50,5.107243407611997,High
4,1,False,16,4,1.95,2,0,30,50,6.342626146337555,Medium
13,5,True,11,11,0.9,1,0,23,50,2.398109289110911,Medium
4,1,False,5,10,1.44,2,0,30,50,5.8871616291053,Medium
12,2,False,15,14,1.47,1,0,25,50,3.843037496800472,Medium
16,4,False,2,13,2.4,3,0,30,50,8.768298996714524,Medium
18,1,False,17,5,1.36,1,1,43,50,8.230350094812106,High
23,4,False,3,13,2.07,2,0,39,50,7.690479817499285,High
18,4,False,7,5,0.87,3,0,50,50,10.072220126974106,High
21,4,False,15,12,0.59,2,0,28,50,4.260678962321254,Medium
8,5,True,12,6,0.87,2,1,44,50,10.303025125386084,High
22,1,False,4,6,1.81,2,0,30,50,6.991041484934668,Medium
18,1,False,17,3,2.74,2,0,50,50,12.238760054531937,High
6,4,False,3,9,0.65,1,0,21,50,2.288386116928351,Medium
5,2,False,5,13,2.93,1,0,27,50,8.479871519963933,Medium
20,3,False,2,9,1.2,1,1,42,50,9.376562522688044,High
6,5,True,7,3,2.34,3,0,32,50,9.390689905549042,Medium
4,3,False,9,1,2.61,2,0,29,50,7.8098793352756495,Medium
3,5,True,6,11,1.37,1,0,28,50,4.255095393605078,Medium
15,1,False,8,1,1.75,3,0,31,50,7.1962200678155135,Medium
1,6,True,3,8,1.23,1,0,23,50,3.9897764841568075,Medium
6,0,False,17,9,1.05,1,0,22,50,4.3406192742944025,Medium
16,6,True,10,10,2.55,2,0,39,50,6.838256264896061,High
13,3,False,15,6,1.91,1,1,32,50,6.9722653843391935,Medium
13,1,False,18,8,2.07,1,0,25,50,5.326904983889216,Medium
21,5,True,17,7,1.96,2,0,24,50,7.012450408464488,Medium
1,3,False,4,4,2.77,3,0,34,50,10.341643016836898,Medium
18,4,False,17,10,0.61,2,1,49,50,9.450756202507906,High
14,6,True,11,13,0.96,1,0,25,50,3.618850885253648,Medium
8,4,False,20,3,2.09,3,0,49,50,10.467392861063699,High
8,2,False,15,2,2.09,3,0,50,50,11.536804063251612,High
4,4,False,4,2,1.03,2,0,31,50,4.92349011963699,Medium
12,6,True,13,13,1.24,1,0,30,50,3.5451684593626527,Medium
11,3,False,8,6,1.0,3,0,34,50,6.227942998942904,Medium
21,5,True,10,5,1.17,3,0,29,50,6.077340454883272,Medium
21,0,False,4,14,1.53,2,0,33,50,7.266307710806458,Medium
23,4,False,11,9,2.91,2,0,26,50,9.346806199621831,Medium
14,0,False,8,12,2.94,1,0,27,50,7.71643061798341,Medium
1,4,False,6,7,0.54,1,0,26,50,2.0,Medium
11,2,False,4,13,2.94,3,0,36,50,10.466670832185205,Medium
23,4,False,4,8,0.66,1,0,24,50,3.6557414455910466,Medium
22,3,False,4,10,2.98,1,0,31,50,8.105973348283433,Medium
21,0,False,17,11,2.31,2,1,34,50,9.38979669218038,Medium
18,2,False,13,5,1.82,3,0,50,50,11.701431976866905,High
14,3,False,6,8,2.31,2,0,35,50,8.17725814210923,Medium
17,4,False,20,4,1.08,1,0,36,50,7.177791643811486,Medium
20,5,True,5,6,1.19,3,0,50,50,8.774069044335246,High
2,5,True,6,13,1.7,3,0,37,50,6.712166994453693,Medium
11,5,True,9,4,2.88,3,0,36,50,10.283980722990773,Medium
10,4,False,18,3,0.94,1,0,46,50,5.968784211372569,High
16,2,False,11,5,2.88,3,0,37,50,10.463828126812473,Medium
3,6,True,1,11,2.17,1,0,32,50,5.836824221613566,Medium
8,4,False,10,4,1.39,3,0,50,50,9.654796133015141,High
7,1,False,8,11,1.13,1,0,32,50,8.507938894800049,Medium
6,0,False,3,4,0.73,1,0,22,50,2.1076514932518644,Medium
16,1,False,13,4,1.47,2,0,33,50,5.538013800596511,Medium
0,0,False,2,8,1.21,3,0,27,50,7.9082202922577425,Medium
2,3,False,19,3,0.86,2,1,35,50,6.5620206367771745,Medium
13,3,False,10,4,1.74,1,0,19,50,4.704639402152244,Low
6,5,True,14,9,1.41,1,1,24,50,5.868328256851501,Medium
7,6,True,4,2,2.43,1,0,46,50,7.897537410401662,High
20,3,False,13,5,1.48,2,0,45,50,8.63508926092959,High
5,4,False,10,8,1.07,1,0,19,50,3.979686641478252,Low
14,0,False,5,13,1.56,1,0,27,50,5.051798329623296,Medium
13,0,False,16,11,3.0,2,0,37,50,9.126930604507292,Medium
7,0,False,16,11,1.54,3,0,41,50,10.646628616930638,High
16,2,False,10,6,1.16,2,0,34,50,5.805196694923426,Medium
5,0,False,1,9,0.93,3,0,33,50,6.18259632490789,Medium
6,2,False,6,1,0.81,1,1,24,50,5.017538104112946,Medium
8,4,False,9,13,1.03,2,0,42,50,8.21585090106561,High
15,6,True,13,7,1.87,1,0,25,50,4.022468155113589,Medium
3,1,False,17,3,2.46,1,0,26,50,6.957696722823038,Medium
22,3,False,19,6,1.87,3,0,35,50,9.149611591649862,Medium
5,4,False,16,14,1.88,1,0,19,50,4.701429336561745,Low
23,5,True,19,9,2.49,1,0,26,50,7.085971992693201,Medium
18,2,False,18,4,2.19,1,0,34,50,8.378764034197053,Medium
11,0,False,6,1,1.58,3,0,28,50,7.295727488839996,Medium
17,0,False,19,6,1.33,1,0,42,50,7.240009112926394,High
21,6,True,15,7,1.0,2,0,27,50,4.852867564103222,Medium
17,6,True,10,9,2.95,1,0,35,50,10.284799642897116,Medium
4,1,False,20,9,1.01,2,0,42,50,5.215296953099618,High
2,1,False,10,6,2.92,2,0,28,50,8.566659957706367,Medium
11,2,False,20,3,2.12,1,0,30,50,6.334955698620584,Medium
15,5,True,9,11,1.18,2,1,31,50,7.635738137619761,Medium
23,5,True,4,2,1.43,1,0,24,50,4.670609273469523,Medium
8,3,False,19,1,1.05,2,0,48,50,7.684300266366273,High
5,0,False,10,2,2.36,1,1,26,50,8.350444532341047,Medium
8,2,False,19,8,1.07,2,0,48,50,7.661145875555132,High
6,0,False,15,4,0.53,1,0,20,50,2.101904042259379,Medium
7,2,False,18,3,1.04,2,0,39,50,7.340926456099169,High
17,5,True,19,4,2.83,2,0,48,50,12.368510206490814,High
23,2,False,14,8,0.67,1,1,36,50,5.376489023883006,Medium
16,3,False,1,6,2.65,1,0,23,50,7.299664855619877,Medium
5,1,False,8,4,1.84,1,0,11,50,5.18134267037739,Low
10,1,False,13,4,1.98,2,0,39,50,10.449462003432712,High
5,1,False,1,6,0.9,1,0,19,50,3.571352198988362,Low
6,2,False,13,4,1.62,3,0,38,50,7.687937922887739,High
9,6,True,20,8,2.47,1,1,41,50,11.37727286999855,High
9,0,False,10,10,2.85,3,0,39,50,13.73243836964512,High
2,6,True,9,6,2.49,3,0,29,50,8.29801575287391,Medium
21,0,False,15,5,1.53,2,0,27,50,4.679469016922005,Medium
22,4,False,2,5,2.33,2,0,23,50,7.305210072625414,Medium
18,3,False,2,9,1.03,1,0,35,50,6.15232005486369,Medium
21,6,True,8,11,1.89,2,0,31,50,7.715482587685891,Medium
14,1,False,1,13,1.75,2,1,41,50,8.774439421909477,High
12,0,False,7,8,2.23,1,0,25,50,5.893956497240428,Medium
16,6,True,1,1,2.03,3,0,33,50,9.028695574639894,Medium
10,1,False,16,9,2.33,2,0,44,50,11.192057091667357,High
8,2,False,12,3,1.21,2,0,50,50,8.239120055839841,High
14,2,False,11,5,1.52,2,0,26,50,5.591476784677372,Medium
7,5,True,6,12,0.95,2,0,45,50,8.080339587846497,High
17,1,False,13,13,2.97,1,1,37,50,12.406496429028245,Medium
2,5,True,14,8,0.67,1,0,31,50,3.2885330984435663,Medium
10,2,False,11,2,2.15,2,0,48,50,10.599397194780956,High
14,0,False,4,8,1.57,2,0,24,50,6.809181865723193,Medium
19,0,False,3,5,1.02,2,0,50,50,7.424265625702896,High
5,4,False,17,7,2.01,2,0,35,50,7.088638067839144,Medium
9,3,False,10,13,2.29,1,0,36,50,8.535183481328806,Medium
1,5,True,12,10,1.77,1,0,32,50,4.58612190992654,Medium
